year,state,headcount_ratio,rural_headcount,urban_headcount
2014,andhra_pradesh,0.151813602562981,0.12254774060453,0.219460941482947
2014,assam,0.213640495402767,0.227387927904357,0.133580438291917
2014,bihar,0.292297485480624,0.272321559394284,0.45258519789373
2014,chandigarh,0.150319678416626,,0.150319678416626
2014,chhattisgarh,0.40334111983458,0.363996042056485,0.535128010618353
2014,delhi,0.172092436251487,0,0.176722153191448
2014,goa,0.00191036017207392,0.0058316457908157,0
2014,gujarat,0.21885206943107,0.218244734634474,0.219663892502822
2014,haryana,0.077875921435151,0.0605180498130411,0.106551536072305
2014,himachal_pradesh,0.151364942149019,0.156023972394973,0.110457306744647
2014,jammu_&_kashmir,0.0901894285538694,0.0796765201092545,0.121289390837019
2014,jharkhand,0.36627804896538,0.411703802844557,0.223335514090946
2014,karnataka,0.145540310457012,0.141044437619884,0.152342556239128
2014,kerala,0.0647377421859663,0.0379080673963531,0.086597799986074
2014,madhya_pradesh,0.435738763250687,0.447940494950999,0.402068538473354
2014,maharashtra,0.0647584428234871,0.0561776691951086,0.0745209108961603
2014,odisha,0.657080241221474,0.678680397220466,0.548621487667922
2014,puducherry,0.0708069423712062,0.000987999340649608,0.103516127689052
2014,punjab,0.0901820438316717,0.0582046538507519,0.146898208676362
2014,rajasthan,0.273139485242761,0.273300991071927,0.272689730905749
2014,tamil_nadu,0.159484253409121,0.120377120402755,0.199485809496488
2014,telangana,0.105505386008026,0.0573117270256324,0.163183450871794
2014,uttar_pradesh,0.198993326039699,0.185888431124331,0.243943024908999
2014,uttarakhand,0.0528855712713546,0.0603028211668888,0.034675844017014
2014,west_bengal,0.389151705124219,0.367899016543571,0.43435265663478
2015,andhra_pradesh,0.159438270298094,0.0943607620196438,0.306280045025165
2015,assam,0.212426737477292,0.197396330713616,0.298218663194691
2015,bihar,0.180993818665871,0.157953460200994,0.366762032231416
2015,chandigarh,0.105414001605985,,0.105414001605985
2015,chhattisgarh,0.401472901176775,0.327645951376668,0.59378978284866
2015,delhi,0.269597227570993,0.0263418749113689,0.276230048714993
2015,goa,0.00343690789759626,0,0.00510768301178997
2015,gujarat,0.16928206744366,0.0839353103438386,0.272887077466346
2015,haryana,0.0727462028502278,0.0360754579185142,0.133553158633426
2015,himachal_pradesh,0.0632156170738408,0.0592997992683206,0.0977960811462208
2015,jammu_&_kashmir,0.0413950551194651,0.0314919520053125,0.0709959255244664
2015,jharkhand,0.264176955133914,0.25931352174787,0.278284022997027
2015,karnataka,0.263126849579619,0.254521263518489,0.274755060177274
2015,kerala,0.0322946596020288,0.00752267518835001,0.052085986604432
2015,madhya_pradesh,0.351614727716297,0.314064836882383,0.4790077464335
