Company Name|Year|Total income|Change in stock|Total expenses|Total liabilities|Total assets|No. of employees|Sales
Barbeque-Nation Hospitality Ltd.|31-03-2023|10915.00||10847.80|12571.90|12571.90|8614|10738.30
Barberry Real Estate & Land Developers Pvt. Ltd.|31-03-2010||||58.60|58.60||
Barbil Beneficiation Co. Ltd.|31-03-2016||||0.70|0.70||
Barbil Iron Ore Co. Ltd.|31-03-2016|||0.10|0.50|0.50||
Barbrik Project Ltd.|31-03-2021|5153.80|289.20|5117.40|4344.60|4344.60||5033.60
Barclays Bank Plc|31-03-2020|22438.40||19608.80|432804.40|432804.40||
Barclays Global Service Centre Pvt. Ltd.|31-03-2022|71295.40||65385.20|36634.60|36634.60||70520.00
Barclays Investments & Loans (India) Pvt. Ltd.|31-03-2022|18400.10||12414.30|342303.20|342303.20||
Barclays Securities (India) Pvt. Ltd.|31-03-2022|1166.00||1340.80|8315.70|8315.70||
Barclays Shared Services Pvt. Ltd.|31-03-2016|16804.00||15011.80|13088.50|13088.50||16684.80
Barcle Enterprises Ltd.|31-03-2013|132.60|30.20|162.70|83.40|83.40||131.00
Barcom Industries Ltd.|31-03-2011|242.00||216.40|144.30|144.30||241.80
Bardai Pvt. Ltd.|31-03-2021|0.20||0.80|4.20|4.20||
Bardanwala Plastics Pvt. Ltd.|31-03-2011|146.60|-1.20|143.50|309.90|309.90||140.00
Bareilly Corporation Bank Ltd. [Merged]|31-03-1998|376.30||366.90|3351.90|3351.90||
Bareilly Dairy Products Ltd.|31-03-2010||||25.60|25.60||
Bareilly Highways Project Ltd.|31-03-2021|0.10||22.20|34422.40|34422.40||
Bareja Pumps Pvt. Ltd.|31-03-2022|0.40|0.00|0.30|14.60|14.60||
Barflex Polyfilms Pvt. Ltd.|31-03-2022|943.70|0.30|862.50|522.80|522.80||936.10
Barga India Pvt. Ltd.|31-03-2022|238.60|1.10|305.10|368.70|368.70||231.20
Bargarh Cement Ltd. [Merged]|31-03-2005|1999.20|-34.50|1914.60|1916.80|1916.80||1966.30
Bari Metal Finishers Pvt. Ltd.|31-03-2022|72.00|-1.10|68.70|62.70|62.70||72.00
Baring Private Equity Partners (India) Pvt. Ltd.|31-03-2022|37.80||33.00|325.00|325.00||37.10
Barista Coffee Co. Ltd.|31-03-2022|548.40|7.50|631.60|695.80|695.80||504.00
Barkat Leasing & Financial Services Ltd.|31-03-1996|11.90||11.10|79.70|79.70||
Barkha Industries Ltd.|31-03-2009|16.90|-1.20|15.20|35.80|35.80||16.90
Barmalt Malting (India) Pvt. Ltd.|31-03-2022|3636.70|-11.10|3414.20|4825.90|4825.90||3575.30
Barmer Lignite Mining Co. Ltd.|31-03-2022|14415.40|419.50|14688.80|27577.40|27577.40||14299.90
Barmer Thermal Power Co. Ltd.|31-03-2023|||18.30|87.80|87.80||
Barnala Steel Inds. Pvt. Ltd.|31-03-2022|1599.00|62.80|1573.90|479.00|479.00||1576.70
Baroda Agents & Trdg. Co. Pvt. Ltd.|31-03-2022|87.80||32.50|1482.70|1482.70||
Baroda Agro Chemicals Ltd.|31-03-2022|334.50|-1.50|320.30|477.80|477.80||332.10
Baroda Asset Mgmt. India Ltd. [Merged]|31-03-2021|435.30||417.70|813.70|813.70||
Baroda B N P Paribas Asset Mgmt. India Pvt. Ltd.|31-03-2022|1033.50||1257.30|2086.10|2086.10||66.30
Baroda Carbons Ltd.|31-03-1999||0.10|0.10|33.70|33.70||
Baroda Electric Meters Ltd.|31-03-2000|61.20|3.90|70.30|64.50|64.50||59.00
Baroda Extrusion Ltd.|31-03-2023|1305.80|-11.10|1328.90|530.00|530.00|35|1301.70
Baroda Ferro Alloys & Inds. Ltd.|31-03-1992|110.00|11.60|115.10|78.90|78.90||109.40
Baroda Gujarat Gramin Bank|31-03-2023|9982.30||9574.70|127289.20|127289.20|1769|
Baroda Industrial Devp. Corpn. Ltd.|31-03-2022|46.10||45.50|13.50|13.50||39.70
Baroda Industries Pvt. Ltd.|31-03-2022|408.40||110.90|2513.30|2513.30||
Baroda Polyplast Ltd.|31-03-1998|13.20|-0.10|13.60|32.20|32.20||13.20
Baroda Power Transmission Ltd.|31-03-1996|80.40|4.80|72.50|78.40|78.40||70.30
Baroda Rayon Corpn. Ltd.|31-03-2023|1003.80|2034.60|311.00|6433.30|6433.30|4|584.40
Baroda Textile Effects Ltd. [Merged]|31-03-2010|1554.70|-52.70|1990.90|2510.00|2510.00||1548.50
Baron Impex Ltd.|31-03-2012|5.80||5.00|118.50|118.50||0.30
Baron Infotech Ltd.|31-03-2023|0.70||14.00|16.60|16.60|8|0.70
Baron International Pvt. Ltd.|31-03-1996|1534.60|-16.30|1307.50|731.80|731.80||1530.60
Baron Suppliers Pvt. Ltd.|31-03-2022|5.10|1.70|3.10|46.00|46.00||5.00
Baron Telecommunication (India) Ltd.|31-03-2003|849.30|75.80|924.50|179.10|179.10||848.80
Barque Hotels Pvt. Ltd.|31-03-2022|583.20||1239.00|3929.00|3929.00||547.00
Barque Infrastructure Pvt. Ltd.|31-03-2012||||0.30|0.30||
Barry-Wehmiller Intl. Pvt. Ltd.|31-03-2022|588.70|2.50|523.90|665.10|665.10||573.30
Barscan Systems & Ribbons Pvt. Ltd.|31-03-2022|23.30|1.10|21.90|21.00|21.00||22.50
Barter Leasing & Finance Pvt. Ltd.|31-03-2005|1.60||1.30|11.90|11.90||
Bartronics India Ltd.|31-03-2023|2110.30|-2.60|1005.50|687.80|687.80|65|526.20
Baruch Business Solutions India Pvt. Ltd.|31-03-2022|57.80||56.70|14.00|14.00||57.80
Baruni Properties Pvt. Ltd.|31-03-2023|26.30||0.40|39.60|39.60||
Barwa Adda Expressway Ltd.|31-03-2022|2658.40||2083.50|22328.40|22328.40||2198.70
Basan Financial Services Ltd.|31-03-2022|0.20||18.70|62.50|62.50||
Basant Agro Tech (India) Ltd.|31-03-2023|5521.20|37.50|5374.90|4153.50|4153.50|340|5493.90
Basant Alloy Steel Ltd.|31-03-1992|98.50|-1.60|134.70|143.20|143.20||98.10
Basant India Ltd.|31-03-2022|14.30||13.00|78.90|78.90||
Basant Projects Ltd.|31-03-2022|2388.60||2230.60|17184.90|17184.90||2380.20
Basant Properties Ltd.|31-03-2023|691.20||75.10|981.30|981.30||0.10
Basav Chem Ltd. [Merged]|31-03-2011|7.70||8.30|5.70|5.70||7.60
Basava Jyoti Sugars Ltd.|31-03-2022|||0.10|0.80|0.80||
Basava Power Pvt. Ltd.|31-03-2021||||0.00|||
Basavanagudi Bhavasar Chit Fund Pvt. Ltd.|31-03-2014|1.70||1.70|15.50|15.50||
Base Corporation Ltd.|31-03-2015|1350.10|64.20|2702.50|14471.70|14471.70||1108.40
Base Exports Pvt. Ltd.|31-03-2022||||0.20|0.20||
Base Holdings Ltd.|31-03-2009||||77.60|77.60||
Base Industries Ltd.|31-03-2022|0.20|||2.00|2.00||
Basell Polyolefins India Pvt. Ltd.|31-03-2022|7209.10|104.70|7207.10|5321.50|5321.50||7204.40
Basera Cements Ltd.|31-03-1995|18.40|0.10|17.50|73.60|73.60||18.30
Basf Catalysts India Pvt. Ltd.|31-03-2022|76014.60|379.20|73356.50|37482.60|37482.60||75928.00
Basic Arch Products Pvt. Ltd.|31-03-2017|49.30|-0.30|38.40|49.70|49.70||26.50
Basic Chemicals Cosmetics & Dyes Export Promotion Council|31-03-2006|37.60||37.60|38.60|38.60||34.20
Basic India Ltd.|31-03-2014|1788.90|118.70|1882.30|1198.50|1198.50||1784.70
Basic Tele Services Ltd.|31-03-2010||||4.40|4.40||
Basics Style Pvt. Ltd.|31-03-2016|22.90|2.00|24.90|59.20|59.20||22.90
Basil Chemicals & Additives Ltd.|31-03-2020|0.10||0.40|46.10|46.10||0.10
Basil Commodities Pvt. Ltd.|31-03-2022|6232.10|13.40|6129.00|371.50|371.50||6218.30
Basil Communications Pvt. Ltd.|30-06-2007|16.80||28.40|57.30|57.30||16.50
Basil Infrastructure Projects Ltd.|31-03-2022|||1.50|167.30|167.30||
Basil International Ltd.|31-03-2015|0.50||22.70|6248.10|6248.10||
Basil Investment & Hospitality Services Ltd.|31-03-2009|25.50||14.40|416.20|416.20||0.30
Basilica Power & Infrastructure Pvt. Ltd.|31-03-2022|||0.10|0.10|0.10||
Basist Fincap Pvt. Ltd.|31-03-2011|1.60||1.50|55.20|55.20||
Basist Leasing Finance Co. Ltd.|31-03-2009|8.90||19.10|79.50|79.50||
Basix Academy For Building Lifelong Employability Ltd.|31-03-2010|1.30||1.30|42.80|42.80||1.20
Basiz Fund Service Pvt. Ltd.|31-03-2022|174.80||140.90|241.70|241.70||165.70
Baskinath Commercial Co. Ltd.|31-03-2006|1.00||0.20|5.20|5.20||
Bassein Drugs Ltd.|31-03-2010||||0.00|||
Bassein Electric Supply Co. Ltd.|31-03-2000||||1.80|1.80||
Bassi Steels Pvt. Ltd.|31-03-2022|283.80|-9.30|262.50|153.50|153.50||283.30
Bastar Railway Pvt. Ltd.|31-03-2022|21.80||30.70|2941.30|2941.30||
Basti Sugar Mills Co. Ltd. [Merged]|31-03-2010|780.00|97.20|1427.70|3275.50|3275.50||750.40
Bastian Solutions India Pvt. Ltd.|31-03-2022|605.20|0.40|594.30|432.80|432.80||603.70
Basudev Trading Co. Pvt. Ltd.|31-03-2022|7.60||3.60|134.80|134.80||
Basukinath Food Processors Ltd.|31-03-2017|30.90|-92.40|43.10|66.40|66.40||30.20
Basumati Corporation Ltd.|31-03-2014|30.30|-0.10|134.90|130.80|130.80||28.50
Bat Enterprise Ltd.|31-03-2021|6.70||3.90|40.50|40.50||
Bata India Ltd.|31-03-2023|34889.30|360.90|32059.00|32881.70|32881.70|10051|34515.70
Bata Properties Ltd.|31-03-2023|43.60||3.90|101.00|101.00||1.50
Batchmaster Software Pvt. Ltd.|31-03-2022|251.50|-1.10|247.10|55.50|55.50||250.00
Bateli Tea Co. Ltd.|31-03-2022|738.20|28.80|694.00|1702.20|1702.20||723.10
Batey India Pvt. Ltd.|31-12-2022|14.90||15.40|25.40|25.40||13.70
Bathina Technologies (India) Ltd.|31-03-2022|||0.30|0.10|0.10||
Bathla Teletech Pvt. Ltd.|31-03-2022|27271.10|250.10|27490.00|2906.40|2906.40||26967.90
Bathla Trading Agency Pvt. Ltd.|31-03-2022|49489.80|10.90|49491.00|6428.30|6428.30||49450.10
Batliboi Environmental Engg. Ltd.|31-03-2022|583.20|8.50|622.20|393.20|393.20||575.60
Batliboi International Ltd.|31-03-2022|55.00||54.00|90.80|90.80||52.20
Batliboi Ltd.|31-03-2023|1999.10|-33.80|1879.60|2728.60|2728.60|327|1948.50
Batlivala & Karani Securities India Pvt. Ltd.|31-03-2021|946.10||795.30|1009.90|1009.90||4.40
Batot Hydro Power Ltd.|31-03-2022|45.40||44.30|313.50|313.50||45.40
Batra Associates Ltd.|31-03-2011|65.90|-0.90|59.20|84.90|84.90||64.20
Batra Fincap Ltd.|31-03-2011|1.30||6.40|56.40|56.40||
Bau Developer'S Pvt. Ltd.|31-03-2022|7.50|-4.60|10.20|170.40|170.40||
Baumer India Pvt. Ltd.|31-03-2022|1226.10|82.10|1210.10|782.10|782.10||1178.10
Baumer Technologies India Pvt. Ltd.|31-03-2022|928.50|6.50|817.80|1685.30|1685.30||916.70
Bausch & Lomb India Pvt. Ltd.|31-03-2022|2519.60|-7.30|2460.60|2895.30|2895.30||2072.80
Bawa Float Glass Ltd.|31-03-2022|1656.00|5.70|1606.40|541.30|541.30||1643.20
Bawa Industries Pvt. Ltd.|31-03-2022|491.80|19.80|500.90|329.50|329.50||487.10
Baxi Brothers Ltd.|31-03-2014|1.60||0.90|4.70|4.70||
Baxter Pharmaceuticals India Pvt. Ltd.|31-03-2022|8320.80|157.90|7742.90|17159.70|17159.70||7708.90
Bay Capital Advisors Pvt. Ltd.|31-03-2022|37.90||177.70|1215.20|1215.20||
Bay Islands Hotels Ltd.|31-03-2023|45.00||25.80|223.90|223.90||21.00
Bay Liners Ltd.|31-03-1995|23.30|-0.10|51.00|180.20|180.20||23.10
Bay Organics Ltd.|30-09-2011|||6.50|41.00|41.00||
Bay View Properties Pvt. Ltd.|31-03-2008|||2.70|34.60|34.60||
Bay-Forge Pvt. Ltd.|31-03-2022|1749.30|27.40|1515.80|2765.50|2765.50||1700.00
Bayer Bioscience Pvt. Ltd.|31-03-2022|8151.70|411.00|6864.00|11799.50|11799.50||5728.60
Bayer Cropscience India Ltd. [Merged]|31-12-2002|3427.20|453.50|3735.40|3015.60|3015.60|452|3328.20
Bayer Cropscience Ltd.|31-03-2023|59496.00|31.00|51945.00|76024.00|76024.00|4322|56100.00
Bayer Pharmaceuticals Pvt. Ltd.|31-03-2022|4777.80|261.90|4586.00|5080.60|5080.60||4399.70
Bayer Polychem (India) Ltd.|31-03-2009|652.50|-14.10|688.10|510.20|510.20||628.30
Bayer Vapi Pvt. Ltd.|31-03-2022|20639.00|-739.00|17039.00|70941.00|70941.00||19351.00
Bayer Zydus Pharma Pvt. Ltd.|31-03-2023|4183.60|118.70|4118.30|2925.60|2925.60||3966.60
Baynee Engineering Ltd.|31-03-2011||||1.60|1.60||
Baynee Industries Ltd.|31-03-2022|1.10||0.90|76.60|76.60||0.20
Bazaari Global Finance Ltd.|31-03-2022|64.80||59.80|278.50|278.50||
Bazaloni Group Ltd.|31-03-2022|494.00|1.20|467.80|568.10|568.10||462.30
Bazargaon Paper & Pulp Mills Pvt. Ltd.|31-03-2007|311.20|-0.10|306.60|235.30|235.30||309.70
Bazari Synthetics Pvt. Ltd.|31-03-2022|75.60|-1.20|71.90|125.20|125.20||70.40
Bazel International Ltd.|31-03-2023|21.30||32.60|515.40|515.40|5|
Be Be Rubber Estates Ltd.|31-03-2022|117.40|0.40|63.00|170.80|170.80||52.50
Be Swasth Healthcare Ltd.|31-03-2023|2.50||2.90|17.10|17.10||
Beach Whiteware Ltd.|31-03-2022|0.60|-0.10|4.50|1284.80|1284.80||0.10
Beacon Elevator Co. Pvt. Ltd.|31-03-2022|192.40|12.00|196.50|139.10|139.10||191.00
Beacon Green Tech Ltd.|31-03-2019||-0.10|36.20|400.50|400.50||
Beacon Industries & Pumps Ltd. [Merged]|31-03-2008|390.30|13.50|365.40|303.60|303.60||388.10
Beacon Neyrpic Pvt. Ltd.|31-03-2004|||0.70|1.90|1.90||
Beacon Pumps (India) Ltd.|31-03-2009|||1.40|1.60|1.60||
Beacon Software Systems Ltd.|31-03-2008|7.80||8.80|4.60|4.60||7.80
Beacon Tileman Ltd.|31-03-2000|0.30||5.10|6.10|6.10||
Beam Global Spirits & Wine (India) Pvt. Ltd.|31-03-2022|7563.90|88.80|10276.50|7116.10|7116.10||7453.00
Bear Stearns Financial Services (India) Pvt. Ltd.|31-03-2004|505.60||433.70|4759.30|4759.30||
Beardsell Ltd.|31-03-2023|2217.50|-3.40|2130.20|1477.00|1477.00|188|2199.50
Bearing Traders (India) Pvt. Ltd.|31-03-2021|394.30|19.30|401.50|262.40|262.40||394.30
Beas Steels Ltd.|31-03-2022||||1.30|1.30||
Beas Valley Power Corpn. Ltd.|31-03-2022||||22764.90|22764.90||
Beat Conframe Pvt. Ltd.|31-03-2022||0.00|0.40|5.60|5.60||
Beaver International (India) Pvt. Ltd.|31-03-2021|181.80|11.40|296.90|766.80|766.80||178.50
Beawar Pali Pindwara Tollway Pvt. Ltd.|31-03-2022|4670.80||10061.90|41195.10|41195.10||4603.30
Bebanco Northern Contracts Ltd.|31-03-2021||||41.50|41.50||
Bechtel India Pvt. Ltd.|31-03-2022|4562.60||4295.00|9339.60|9339.60||4325.90
Beckman Coulter India Pvt. Ltd.|31-03-2022|10599.10|203.60|10043.70|8291.00|8291.00||10565.40
Beckons Industries Ltd.|31-03-2015|0.30||79.30|304.40|304.40||0.30
Beco Engineering Co. Ltd. [Merged]|31-03-1992|67.00|5.20|81.30|155.70|155.70||66.50
Bectochem Loedige Process Technology Pvt. Ltd.|31-03-2022|777.60|-37.30|694.90|723.30|723.30||751.90
Becton Dickinson India Pvt. Ltd.|31-03-2022|11558.90|301.40|11409.80|8426.50|8426.50||11442.20
Bedelia Builders & Constructions Pvt. Ltd. [Merged]|31-03-2010|||2.50|36.90|36.90||
Bedmutha Industries Ltd.|31-03-2023|7487.40|-8.00|7353.20|5188.20|5188.20|525|6867.90
Bee Electronic Machines Ltd.|31-03-2022|6.10||1.60|4.40|4.40|3|5.70
Bee K Bee Prints Pvt. Ltd.|31-03-2022|700.50||778.60|846.70|846.70||698.90
Bee Network & Communication Ltd. [Merged]|31-03-2021|1.40||0.20|12.40|12.40||
Bee Pee Jay Finance Ltd.|31-03-2022|10.00||9.90|97.10|97.10||
Beehive Software Services Pvt. Ltd.|31-03-2022|32.90||30.00|46.40|46.40||32.80
Beej Sheetal Research Pvt. Ltd.|31-03-2022|114.20||143.10|718.70|718.70||96.00
Beekash Payment System Pvt. Ltd.|31-03-2019|1.10||1.60|6.80|6.80||1.10
Beekay Infrapark Pvt. Ltd.|31-03-2010||||10.90|10.90||
Beekay Niryat Ltd.|31-03-2023|190.70||181.00|259.80|259.80|4|184.90
Beekay Steel Inds. Ltd.|31-03-2023|11423.00|-292.70|10038.30|11229.80|11229.80|1752|11294.10
Beekaylon Industries Ltd.|31-03-2006|775.00|-0.60|750.20|329.30|329.30||752.70
Beekaylon Synthetics Pvt. Ltd.|31-03-2022|9544.10|50.30|9200.10|4864.60|4864.60||9462.50
Beem Healthcare Ltd. [Merged]|31-12-1997|425.20|-14.30|365.10|106.20|106.20||422.80
Beepee Coatings Pvt. Ltd.|31-03-2022|306.50||302.90|377.50|377.50||306.30
Beetel Teletech Ltd.|31-03-2022|13460.50|250.50|13365.40|5438.80|5438.80||13061.60
Beetel Teletech Ltd. [Merged]|31-03-2008|82.80|-3.90|82.50|340.80|340.80||55.50
Beetle Enterprises Ltd.|31-03-2022|363.90||347.20|178.30|178.30||336.00
Beetle Investment Co. Ltd.|31-03-2012|0.60||0.60|5.30|5.30||
Beeyu Overseas Ltd.|31-03-2023|1.60||1.50|32.40|32.40||0.60
Beeyu Plantations Ltd. [Merged]|31-03-2001|0.10|0.80|16.10|35.70|35.70||
Beharilal Ramcharan Cotton Mills Ltd.|31-03-2009|1.30||0.90|7.00|7.00||0.20
Behr-Hella Thermocontrol India Pvt. Ltd.|31-03-2022|1803.80|-5.00|1732.60|1516.80|1516.80||1754.80
Behram Chemicals Pvt. Ltd.|31-03-2023|1.30||0.50|12.60|12.60||1.10
Behubor Investments Ltd.|31-03-2022|0.40||0.30|48.80|48.80||
Beico Industries Pvt. Ltd.|31-03-2022|1970.70|2.70|1881.30|1150.40|1150.40||1960.10
Beiersdorf (India) Pvt. Ltd.|31-03-2022|889.30|40.50|819.40|962.10|962.10||873.80
Bekaert Industries Pvt. Ltd.|31-03-2021|11223.00|-66.40|10703.00|11401.30|11401.30||10915.20
Bekaert Mukand Wire Inds. Pvt. Ltd.|31-03-2022|3608.70|66.10|3447.70|2818.20|2818.20||3576.50
Bekal Resorts Devp. Corpn. Ltd.|31-03-2017|62.00||44.60|670.00|670.00||41.90
Bekem Infra Projects Pvt. Ltd.|31-03-2022|7730.00|16.10|7000.40|7190.30|7190.30||7628.00
Bel Traders Pvt. Ltd.|31-03-2021||||6.90|6.90||
Bel-Thales Systems Ltd.|31-03-2023|809.30|-48.30|691.00|821.50|821.50||790.30
Belair Logistics Pvt. Ltd.|31-03-2022|79.50||50.70|1990.70|1990.70||61.80
Belapur Industries Ltd.|31-03-2017|15.10||14.60|56.70|56.70|3|15.00
Belgachi Tea Co. Ltd.|31-03-2022|179.70|-6.50|168.80|263.20|263.20||178.60
Believe Enterprises Ltd.|31-03-2011|1.10||0.90|11.60|11.60||
Belinda Properties Pvt. Ltd.|31-03-2022|||0.40|6.80|6.80||
Bell Ceramics Ltd. [Merged]|31-12-2010|1195.90|9.10|1284.50|2347.40|2347.40||1137.10
Bell Finvest (India) Ltd.|31-03-2022|9.80||67.20|1767.80|1767.80||
Bell Granito Ceramica Ltd.|31-03-2023|741.40|71.40|967.30|2327.10|2327.10||735.70
Bell Leasing Hire Purchase Ltd.|31-03-2012|18.70||16.40|100.80|100.80||
Bell Remedies Ltd.|31-03-1996|0.60||3.00|21.40|21.40||
Bell Tower Resorts Pvt. Ltd. [Merged]|31-03-2014|101.60||188.60|553.30|553.30||97.70
Bella Casa Fashion & Retail Ltd.|31-03-2023|2062.70|156.90|2142.00|1471.80|1471.80|931|2056.40
Bella Vista Mgmt. Solutions Pvt. Ltd.|31-03-2022|1.60||1.20|1.60|1.60||1.60
Bellary Oxygen Co. Pvt. Ltd.|31-03-2022|332.10|-1.60|190.20|436.90|436.90||295.30
Bellary Steel Rolling Mills Ltd.|31-03-2009||||0.70|0.70||
Bellary Steels & Alloys Ltd.|31-03-2009|401.30|1.00|1838.40|22915.90|22915.90|224|398.70
Bellflower Properties Pvt. Ltd. [Merged]|31-03-2019|36.90|-13.80|40.20|303.30|303.30||35.70
Belliss India Ltd.|31-03-2013|155.20|-17.80|236.20|322.60|322.60||148.10
Belliss International Ltd.|31-03-2012|2.70||0.90|27.40|27.40||
Bellissimo Crown Buildmart Pvt. Ltd. [Merged]|31-03-2016|10724.40|1618.20|12146.60|64442.10|64442.10||5298.50
Bellissimo Developers Thane Pvt. Ltd.|31-03-2018|14448.70|-1198.70|11335.20|51317.10|51317.10||12527.40
Bellissimo Healthy Constructions & Developers Pvt. Ltd.|31-03-2022|85.00|-92.80|164.80|2933.50|2933.50||82.20
Bellissimo Hi-Rise Builders Pvt. Ltd. [Merged]|31-03-2011|4294.90||4617.80|15811.20|15811.20||
Bellissimo Land Dwellers Ltd.|31-03-2017||||0.10|0.10||
Bellissimo Properties Devp. Pvt. Ltd.|31-03-2012||379.10|380.70|384.30|384.30||
Bellona Estate Developers Ltd.|31-03-2022|1606.10||3.10|1301.70|1301.70||
Bellona Hospitality Services Ltd.|31-03-2023|414.00||562.70|815.70|815.70||400.10
Bells Controls Ltd.|30-09-2011|1.80||44.60|121.50|121.50||0.80
Bells Softech Ltd. [Merged]|31-03-2017|5.70||1.90|50.70|50.70||
Bellsonica Auto Component India Pvt. Ltd.|31-03-2022|5570.00|342.40|5825.00|4662.80|4662.80||5422.80
Belmaks Solutions Pvt. Ltd.|31-03-2019|||0.80|12.10|12.10||
Beloorbayir Biotech Ltd.|31-03-2014|592.10|80.60|665.80|1147.60|1147.60||582.50
Belrise Industries Ltd.|31-03-2023|54332.70|1.00|51619.70|53812.00|53812.00||53949.60
Belstar Microfinance Ltd.|31-03-2023|10389.70||9086.40|63510.20|63510.20||
Belsund Sugar & Inds. Ltd.|31-03-2022|||1.20|26.20|26.20||
Belvedere Commercials Ltd.|31-03-2019|0.10||0.40|16.70|16.70||
Belvedere Gardens Ltd.|31-03-2023|8.90||5.00|16.30|16.30||8.20
Belvedere Golf & Country Club Pvt. Ltd.|31-03-2011||||0.40|0.40||
Belwal Spinning Mills Ltd.|31-03-2022|0.30||0.80|26.90|26.90||0.20
Bemco Fluidtechnik L L P|26-02-2017|7.00|1.80|14.60|14.10|14.10||6.80
Bemco Hydraulics Ltd.|31-03-2023|472.80|113.60|539.70|937.70|937.70|296|464.10
Bemco Jacks & Allied Products Ltd.|31-03-2021||||0.70|0.70||
Bemco Sleepers Ltd.|31-03-2011|227.70|38.40|259.50|330.10|330.10||225.60
Ben Line Agencies (India) Pvt. Ltd.|31-03-2022|561.90||490.90|599.90|599.90||512.60
Benaka Sponge Iron Pvt. Ltd.|31-03-2014|420.70|72.60|548.80|610.50|610.50||420.40
Benara Bearings & Pistons Ltd.|31-03-2023|202.20|17.80|303.80|942.90|942.90||196.70
Benara Metrab Ltd.|31-03-2012|59.00|16.20|74.90|59.50|59.50||58.90
Benara Overseas Ltd.|31-03-2015|82.70|22.40|104.70|152.20|152.20||82.70
Benara Valves Ltd.|31-03-2018|198.60|-1.80|199.70|157.20|157.20||198.60
Benares Hotels Ltd.|31-03-2023|948.20||714.40|1218.90|1218.90|145|933.20
Benchmark Asset Mgmt. Co. Pvt. Ltd. [Merged]|31-03-2012|131.00||149.40|309.00|309.00||
Benchmark Computer Solutions Ltd.|31-03-2022|190.30||180.70|189.90|189.90||186.50
Benchmark Homes & Resorts Ltd. [Merged]|31-03-1996|10.80||26.70|85.90|85.90||8.90
Benchmark I T Solutions India Pvt. Ltd.|31-03-2022|113.50||103.40|29.50|29.50||113.20
Benchmark Infotech Pvt. Ltd.|31-03-2011||41.00|41.10|154.90|154.90||
Benco Thermal Technologies Pvt. Ltd.|31-03-2022|86.30|37.60|123.80|176.30|176.30||85.60
Bendictory Realtors Ltd.|31-03-2022||||0.40|0.40||
Benedict Estates Developers Pvt. Ltd.|31-03-2022||0.00|0.30|226.00|226.00||
Beneficent Knowledge Parks & Properties Pvt. Ltd.|31-03-2021|0.60||1.80|967.30|967.30||
Benetton India Pvt. Ltd.|31-12-2021|5883.50|-194.00|6184.90|3994.70|3994.70||5879.50
Bengal & Assam Co. Ltd.|31-03-2023|1732.60||514.10|11875.00|11875.00|9|73.70
Bengal Aerotropolis Projects Ltd.|31-03-2022|570.10||1118.40|10788.60|10788.60||557.20
Bengal Ambuja Housing Devp. Ltd.|31-03-2022|375.10|232.60|577.50|2920.30|2920.30||366.20
Bengal Ambuja Metro Devp. Ltd.|31-03-2023|11.60||5.70|139.80|139.80||3.80
Bengal Anmol South City Infrastructure Ltd.|31-03-2008|||0.10|49.90|49.90||
Bengal Aquatic Farms Ltd.|31-03-2022||||0.00|||
Bengal Beverages Pvt. Ltd.|31-03-2022|5339.70|-29.00|4897.40|5063.20|5063.20||5314.20
Bengal Bonded Warehouse Assn.|31-03-2014|23.50||21.90|109.40|109.40||20.10
Bengal C E S Infratech Pvt. Ltd.|31-03-2022|||0.30|57.50|57.50||
Bengal Chemicals & Pharmaceuticals Ltd.|31-03-2022|722.40|-3.80|645.80|2193.30|2193.30||713.60
Bengal Chemists & Distributors Alliance Ltd.|31-03-2011|1.20||0.60|20.40|20.40||
Bengal Coal Co. Ltd.|31-03-2021|0.10||1.70|57.10|57.10||
Bengal Emta Coal Mines Ltd.|31-03-2021|0.50||0.90|3725.10|3725.10||
Bengal Energy Ltd.|31-03-2022|24653.60|-303.70|21611.60|19160.80|19160.80||24597.70
Bengal Finance & Invst. Pvt. Ltd.|31-03-2022|170.10||455.00|8532.20|8532.20||13.40
Bengal Floritech Pvt. Ltd.|31-03-2022|0.60||0.30|10.10|10.10||
Bengal Foodpark Ltd.|31-03-2012|1.80||1.60|53.10|53.10||1.70
Bengal Global Technocentre Ltd.|31-03-2022||7.10|10.30|219.10|219.10||
Bengal Greenfield Housing Devp. Co. Ltd.|31-03-2021|411.70|-249.20|143.10|546.70|546.70||371.60
Bengal H C C I Infrastructure Ltd.|31-03-2014|||1.10|42.30|42.30||
Bengal Immunity Ltd.|31-03-1999|43.20|-13.50|127.80|132.70|132.70||42.10
Bengal India Global Infrastructure Ltd.|31-03-2017|||7.80|13035.10|13035.10||
Bengal Infrabuilder Ltd.|31-03-2021||0.00|0.10|66.60|66.60||
Bengal Intelligent Parks Pvt. Ltd.|31-03-2021|397.60||313.30|1822.10|1822.10||240.10
Bengal Isha Infrastructure Pvt. Ltd.|31-03-2011|0.10|26.80|26.90|57.60|57.60||0.10
Bengal K D C Housing Devp. Ltd.|31-03-2022|6.50||3.80|119.90|119.90||
Bengal Lamps Ltd.|31-03-2022|0.20||17.00|153.20|153.20||
Bengal N R I Complex Ltd.|31-03-2023|245.90|1042.50|1227.00|3962.90|3962.90||175.50
Bengal Paper Mill (1989) Co. Ltd.|31-03-2006|||0.20|259.60|259.60||
Bengal Peerless Housing Devp. Co. Ltd.|31-03-2022|98.70|1119.00|1211.10|5890.80|5890.80||84.10
