Company Name|Year|Total income|Change in stock|Total expenses|Total liabilities|Total assets|No. of employees|Sales
A & F Overseas Trade Ltd.|31-03-2022|||0.10|4.30|4.30||
A & M Febcon Ltd.|31-03-2020|108.30|-4.90|103.40|218.10|218.10|9|107.80
A & M Jumbo Bags Ltd.|31-03-2022|4.20|-2.30|4.10|181.70|181.70|12|4.20
A 1 Century Trades Ltd.|31-03-2021||||466.80|466.80||
A 2 Z Infra Engg. Ltd.|31-03-2023|2240.50||3155.90|10113.30|10113.30|11|698.80
A 2 Z Infra Mgmt. & Services Ltd. [Merged]|31-03-2012|1031.70||1039.90|443.20|443.20||1022.90
A 2 Z Infraservices Ltd.|31-03-2022|1605.90||1561.20|2578.00|2578.00||1503.70
A 2 Z Mayo S N T Waste Mgmt. (Nanded) Pvt. Ltd.|31-03-2018|||0.20|14.10|14.10||
A 2 Z Powercom Ltd.|31-03-2023|||1.00|107.60|107.60||
A 2 Z Shopping Ltd.|31-03-2013|902.10|20.50|1645.40|489.50|489.50||890.70
A 2 Z Waste Mgmt. (Ahmedabad) Ltd.|31-03-2022||||16.20|16.20||
A 2 Z Waste Mgmt. (Aligarh) Ltd.|31-03-2023|105.30|0.60|110.40|337.40|337.40||90.20
A 2 Z Waste Mgmt. (Badaun) Ltd.|31-03-2022|||2.40|96.80|96.80||
A 2 Z Waste Mgmt. (Balia) Ltd.|31-03-2022|0.10||2.20|81.10|81.10||
A 2 Z Waste Mgmt. (Dhanbad) Pvt. Ltd.|31-03-2022|2.20||1.00|44.50|44.50||
A 2 Z Waste Mgmt. (Fatehpur) Ltd.|31-03-2022|3.60||17.80|144.20|144.20||
A 2 Z Waste Mgmt. (Jaipur) Ltd.|31-03-2022|||7.20|13.10|13.10||
A 2 Z Waste Mgmt. (Jaunpur) Ltd.|31-03-2022|1.50||0.80|188.80|188.80||
A 2 Z Waste Mgmt. (Ludhiana) Ltd.|31-03-2023|||18.30|584.70|584.70||
A 2 Z Waste Mgmt. (Merrut) Ltd.|31-03-2022|7.90||44.00|287.50|287.50||
A 2 Z Waste Mgmt. (Mirzapur) Ltd.|31-03-2022|||4.50|143.10|143.10||
A 2 Z Waste Mgmt. (Moradabad) Ltd.|31-03-2022|4.70||43.10|285.50|285.50||
A 2 Z Waste Mgmt. (Nainital) Pvt. Ltd.|31-03-2022|1.80||2.30|69.00|69.00||
A 2 Z Waste Mgmt. (Ranchi) Ltd.|31-03-2022|3.50||6.60|309.00|309.00||
A 2 Z Waste Mgmt. (Sambhal) Ltd.|31-03-2022|0.30||1.20|89.60|89.60||
A 2 Z Waste Mgmt. (Varanasi) Ltd.|31-03-2022|0.90||33.40|687.50|687.50||
A 2 Z Waste Mgmt. Pvt. Ltd.|31-03-2014||||0.10|0.10||
A A A Global Organiser Pvt. Ltd.|31-03-2021|2.80||2.20|389.80|389.80||
A A A Paper Ltd.|31-03-2021|1.40||577.30|807.40|807.40||1.40
A A A Steel & Energy (India) Pvt. Ltd.|31-03-2012|0.20||0.20|72.30|72.30||
A A A Technologies Ltd.|31-03-2023|235.20||206.50|276.70|276.70|68|230.00
A A A Textiles Pvt. Ltd.|31-03-2022|529.30|-19.90|485.40|636.30|636.30||529.20
A A A Township Pvt. Ltd. [Merged]|31-03-2013|0.10|||0.10|0.10||
A A Autotech Pvt. Ltd. [Merged]|31-03-2018|3776.10|13.60|3727.00|1306.90|1306.90||3771.20
A A C K Technocraft Toolings Pvt. Ltd.|31-03-2022|47.30|-1.90|45.30|46.10|46.10||47.20
A A Calibration Pvt. Ltd.|31-03-2022|16.90||16.60|14.70|14.70||16.90
A A Doshi Share & Stock Brokers Ltd.|31-03-2011|6.90||7.00|43.90|43.90||
A A Energy Pvt. Ltd.|31-03-2022|370.10|-0.10|371.10|438.80|438.80||361.40
A A Gartex Pvt. Ltd.|31-03-2013|281.30|57.10|337.50|162.10|162.10||281.30
A A Infraproperties Pvt. Ltd.|31-03-2022|9.30||5.40|7538.10|7538.10||
A A K India Pvt. Ltd.|31-03-2023|22460.50|-639.60|19979.80|9175.20|9175.20||22152.70
A A M India Mfg. Corpn. Pvt. Ltd.|31-03-2022|10007.40|173.30|10200.70|7193.50|7193.50||9993.50
A A P Infrastructure Ltd.|31-03-2023|0.80||4.20|29.10|29.10||
A A Plus Tradelink Ltd.|31-03-2022|115.40||113.50|197.00|197.00||105.70
A A R Commercial Co. Ltd. [Merged]|31-03-2021|0.10||3.20|1983.30|1983.30|4|
A A R Infra Tech Ltd. [Merged]|31-03-2012|0.10||0.10|14.90|14.90||0.10
A A Realventure Pvt. Ltd.|31-03-2011||91.90|92.00|94.00|94.00||
A A S Marketing Ltd.|31-03-2022|0.20||0.10|11.70|11.70||0.20
A A T Academy India Ltd.|31-03-2011|109.10||108.80|209.80|209.80||104.40
A A T Techno-Info Pvt. Ltd.|31-03-2022|0.40||1.20|392.40|392.40||
A B & Co. Corporate Services Ltd.|31-03-2012|6.30||5.50|79.50|79.50||5.80
A B A Builders Ltd.|31-03-2022|73.00|0.00|35.90|1883.00|1883.00||9.70
A B A Earthline Communications Ltd.|31-03-2014||||402.40|402.40||
A B B Global Inds. & Services Pvt. Ltd.|31-12-2021|13328.70|-0.60|10166.00|18053.10|18053.10||9848.30
A B B India Ltd.|31-12-2022|91403.20|1015.30|82256.20|96123.60|96123.60|4251|85675.30
A B B Instrumentation Ltd. [Merged]|31-12-1996|293.40|-4.60|309.70|589.10|589.10||283.70
A B B Ship Mgmt. Pvt. Ltd.|31-03-2020|11.60||11.10|5.60|5.60||11.50
A B Bank Ltd.|31-03-2020|332.20||299.80|2034.00|2034.00||
A B Base Metal Mining Co. Pvt. Ltd.|31-03-2011||||0.10|0.10||
A B C A P Trustee Co. Pvt. Ltd.|31-03-2021||||0.20|0.20||
A B C Bearings Ltd. [Merged]|31-03-2017|2147.60|20.20|2049.30|2290.80|2290.80|398|2109.80
A B C Cable Network Pvt. Ltd.|31-03-2022|||0.10|5.40|5.40||
A B C Commercial Co. Ltd. [Merged]|31-03-2012||||7.30|7.30||
A B C Cotspin Pvt. Ltd.|31-03-2014|18955.10||18858.20|2736.90|2736.90||
A B C Dubash Oil & Gas Pvt. Ltd.|31-03-2010||||0.30|0.30||
A B C Gas (International) Ltd.|31-03-2023|64.50|-0.10|43.50|46.60|46.60|3|1.50
A B C India Ltd.|31-03-2023|1488.70|0.30|1446.40|910.20|910.20|93|1451.70
A B C Infosystems Pvt. Ltd.|31-03-2022|37.40|0.00|36.40|44.80|44.80||32.60
A B C Infra Equipment Pvt. Ltd.|31-03-2021|310.40|0.40|308.50|268.90|268.90||303.70
A B C O Plastics Ltd.|31-03-1998|60.50|-6.50|68.70|109.40|109.40||57.50
A B C Overseas Pvt. Ltd.|31-03-2022|117.50||23.20|987.10|987.10||
A B Corp Ltd.|31-03-2022|3.40|-1.50|9.90|1197.00|1197.00||
A B Cotspin India Ltd.|31-03-2022|1409.10|36.30|1377.10|828.10|828.10|51|1403.60
A B Crops Pvt. Ltd.|31-03-2021|0.10||9.20|186.60|186.60||
A B Duplex Pvt. Ltd.|31-03-2009||||4.50|4.50||
A B Emultech Pvt. Ltd.|31-03-2022|95.70|0.40|95.40|80.50|80.50||95.40
A B G Energy (M P) Ltd.|31-03-2011|||0.10|0.50|0.50||
A B G Energy Ltd.|31-03-2013|0.30||20.70|466.60|466.60||0.20
A B G Engineering & Constructions Ltd.|31-03-2009|0.30||33.20|826.50|826.50||
A B G Motors Ltd.|31-03-2010|103.50||105.50|818.00|818.00||101.80
A B G Shipyard Ltd.|31-03-2016|377.70|-3663.70|33761.10|111067.50|111067.50||343.10
A B G Turnkey Pvt. Ltd.|31-03-2022||||0.20|0.20||
A B Grain Spirits Pvt. Ltd.|31-03-2022|4752.30|5.50|4574.80|3071.90|3071.90||4698.10
A B Holdings Pvt. Ltd.|31-03-2022|4.80||0.70|14.40|14.40||
A B Hotels Ltd.|31-03-2021|517.80||562.60|1136.80|1136.80||510.30
A B I-Showatech (India) Pvt. Ltd.|31-03-2022|6315.90|49.00|6277.40|7887.00|7887.00||6196.00
A B Inbev G C C Services India Pvt. Ltd.|31-03-2022|9003.00||7993.00|6062.00|6062.00||8963.00
