"","year","state","state_mpce","state_mpce_cphs"
"1",2014,"andhra_pradesh",1906.69535870508,2080.13423191872
"2",2014,"assam",1812.86156684844,2023.21752130907
"3",2014,"bihar",1311.40611257782,1403.99816378063
"4",2014,"chandigarh",3077.14447354378,3598.42877255123
"5",2014,"chhattisgarh",1316.94473303184,1410.14818917753
"6",2014,"delhi",2740.23773044747,3044.32895980117
"7",2014,"goa",4517.43897731106,5002.38883171112
"8",2014,"gujarat",1980.78887906818,2203.57461988323
"9",2014,"haryana",2340.52728545959,2567.10974064843
"10",2014,"himachal_pradesh",2186.11989271311,2360.66554547249
"11",2014,"jammu_&_kashmir",2278.12090174464,2488.55352602689
"12",2014,"jharkhand",1339.80482950446,1501.84450279656
"13",2014,"karnataka",2120.00100202107,2347.3951614589
"14",2014,"kerala",3330.70472541389,3600.27866198772
"15",2014,"madhya_pradesh",1319.31652110184,1438.23195623885
"16",2014,"maharashtra",2554.377604952,2836.58266068462
"17",2014,"odisha",1001.65130650452,1086.61152752492
"18",2014,"puducherry",2797.49683819353,3047.93808630773
"19",2014,"punjab",2538.66572913844,2759.05929013653
"20",2014,"rajasthan",1795.4517781466,2062.73090624367
"21",2014,"tamil_nadu",2005.03729475569,2172.60860040785
"22",2014,"telangana",2304.12808514455,2541.67376210606
"23",2014,"uttar_pradesh",1621.64210573585,1797.67386172865
"24",2014,"uttarakhand",2222.25244854504,2523.59452685365
"25",2014,"west_bengal",1391.30054263444,1552.05549940084
"26",2015,"andhra_pradesh",1722.97776142784,1947.96767420552
"27",2015,"assam",1538.4404083613,1694.76624536345
"28",2015,"bihar",1399.82431532481,1531.3583913322
"29",2015,"chandigarh",3400.41948424459,4075.15891223515
"30",2015,"chhattisgarh",1285.5137980368,1418.77812445553
"31",2015,"delhi",2727.56640055371,3121.12346691398
"32",2015,"goa",3980.68224326867,4411.53696251233
"33",2015,"gujarat",1822.42073583435,2014.6044500079
"34",2015,"haryana",2377.08356116579,2658.45119911621
"35",2015,"himachal_pradesh",2325.79724845405,2511.67994404127
"36",2015,"jammu_&_kashmir",2404.83186481166,2642.12454177557
"37",2015,"jharkhand",1525.97449050629,1742.46139116425
"38",2015,"karnataka",2046.35749925834,2213.28511534347
"39",2015,"kerala",2861.28833409089,3144.85654582606
"40",2015,"madhya_pradesh",1473.55443862118,1620.94806441667
"41",2015,"maharashtra",2087.70003522824,2356.19223239802
"42",2015,"odisha",1181.47682947234,1276.74454882986
"43",2015,"puducherry",2451.38047246416,2670.36813151501
"44",2015,"punjab",2668.73898631727,2962.63943643283
"45",2015,"rajasthan",1555.79642221092,1793.59056924068
"46",2015,"tamil_nadu",1832.39373631787,2013.95746844893
"47",2015,"telangana",1928.89074814074,2143.40952355612
"48",2015,"uttar_pradesh",1748.22852460214,1956.98770535952
"49",2015,"uttarakhand",2413.39393835182,2788.31797177625
"50",2015,"west_bengal",1523.75100935478,1703.61010113
"51",2016,"andhra_pradesh",2286.84788037797,2546.4833030625
"52",2016,"assam",2098.69795047309,2271.79907579213
"53",2016,"bihar",1427.53585015216,1579.73087062944
"54",2016,"chandigarh",3462.98810589463,4225.4547194644
"55",2016,"chhattisgarh",1428.69020010127,1573.96558594397
"56",2016,"delhi",2584.59762559189,2920.89690035479
"57",2016,"goa",5711.31313629656,6417.87093689391
"58",2016,"gujarat",2009.93621847169,2205.75519863278
"59",2016,"haryana",2757.81907709063,3215.59138022921
"60",2016,"himachal_pradesh",3339.66535573381,3599.20915091451
"61",2016,"jammu_&_kashmir",2900.96722237061,3112.99711282016
"62",2016,"jharkhand",1445.74698097235,1643.22830452471
"63",2016,"karnataka",2180.38322574464,2369.71681707261
"64",2016,"kerala",3350.79375266687,3675.49333619752
"65",2016,"madhya_pradesh",1554.4638966932,1693.24321410929
"66",2016,"maharashtra",2344.56811244452,2611.8289758718
"67",2016,"odisha",1260.32306400189,1397.75421103148
"68",2016,"puducherry",4629.80426187243,5010.41014332405
"69",2016,"punjab",2815.68579831016,3119.56965150418
"70",2016,"rajasthan",1866.57915043148,2156.01514661643
"71",2016,"tamil_nadu",2390.00617179278,2568.03502104817
"72",2016,"telangana",1997.12311819445,2234.12421560818
"73",2016,"uttar_pradesh",1690.22385790184,1927.51940374463
"74",2016,"uttarakhand",2807.20275439796,3156.63325910534
"75",2016,"west_bengal",1655.3645639983,1843.61518501197
"76",2017,"andhra_pradesh",2270.77694307513,2482.29207214943
"77",2017,"assam",2407.42058276505,2576.80172930023
"78",2017,"bihar",1343.94250140589,1493.35926001164
"79",2017,"chandigarh",3777.65668109086,4467.26301345282
"80",2017,"chhattisgarh",1268.34376317139,1384.54601544165
"81",2017,"delhi",2979.49405052647,3397.9585803507
"82",2017,"goa",5899.9772516639,6490.94583598543
"83",2017,"gujarat",2117.78583958931,2322.82453531312
"84",2017,"haryana",3228.78402856489,3706.80958098034
"85",2017,"himachal_pradesh",2876.95693729491,3064.99393762528
"86",2017,"jammu_&_kashmir",2124.49865629904,2339.77098474662
"87",2017,"jharkhand",1544.95539601668,1723.97673292287
"88",2017,"karnataka",2432.98760967571,2793.77993031705
"89",2017,"kerala",3049.13856923802,3367.62315864548
"90",2017,"madhya_pradesh",1420.22175342304,1556.93726525614
"91",2017,"maharashtra",2429.88895121522,2772.79147981748
"92",2017,"odisha",1273.81166797378,1429.38616243192
"93",2017,"puducherry",3046.2853462059,3255.09912936694
"94",2017,"punjab",3227.79216184388,3541.88299370044
"95",2017,"rajasthan",2006.06917713047,2280.27819023909
"96",2017,"tamil_nadu",2203.50277132166,2445.57118510639
