"","year","state","micro","small","medium","msme_count"
"1",2014,"andhra_pradesh",760.573627858022,1120.57847837749,1440.01940207785,3321.17150831336
"2",2014,"assam",438.120898099482,855.378896289464,166.903199275993,1460.40299366494
"3",2014,"bihar",238.176734082058,258.447094429467,48.1421058250969,544.765934336622
"4",2014,"chandigarh",32.9687499991071,30.7708333325,10.9895833330357,74.7291666646429
"5",2014,"chhattisgarh",237.153595768708,358.487993603862,206.81999630992,802.46158568249
"6",2014,"delhi",515.967732799454,452.165271216726,97.0907024084995,1065.22370642468
"7",2014,"goa",82.5640243902439,155.414634146341,95.515243902439,333.493902439024
"8",2014,"gujarat",2072.42659316417,3740.38331219778,2434.523432862,8247.33333822394
"9",2014,"haryana",520.746135435392,1131.10904766664,818.661366405407,2470.51654950744
"10",2014,"himachal_pradesh",253.339549343124,473.634809641492,396.531468537063,1123.50582752168
"11",2014,"jammu_&_kashmir",62.5994550408719,158.734332425068,76.0136239782016,297.347411444142
"12",2014,"jharkhand",284.072051679063,383.497269766736,161.921069457066,829.490390902865
"13",2014,"karnataka",1300.72694770482,1964.24384012953,1104.88716007286,4369.85794790722
"14",2014,"kerala",708.400197972638,789.897565880995,341.662042385033,1839.95980623867
"15",2014,"madhya_pradesh",518.473481118818,676.684138960222,352.638213260961,1547.79583334
"16",2014,"maharashtra",3042.14798942657,4926.24680388049,3597.57596362975,11565.9707569368
"17",2014,"manipur",6,4,0,10
"18",2014,"meghalaya",10,37,12,59
"19",2014,"nagaland",1,4,0,5
"20",2014,"odisha",346.638496129238,311.974646516314,158.153813858965,816.766956504516
"21",2014,"puducherry",92.2352941181315,136.156862745813,96.6274509808997,325.019607844844
"22",2014,"punjab",774.190659143164,1329.10188303769,778.665749658443,2881.95829183929
"23",2014,"rajasthan",1214.36376861476,1478.19875405785,798.733312094828,3491.29583476744
"24",2014,"sikkim",14,19,12,45
"25",2014,"tamil_nadu",2184.34778425568,3927.13689298203,3313.64386591917,9425.12854315688
"26",2014,"telangana",769.577784751199,1420.05424567185,1039.84617344358,3229.47820386664
"27",2014,"tripura",12,16,0,28
"28",2014,"uttar_pradesh",1864.94033695402,2255.74447536041,1169.53885537795,5290.22366769238
"29",2014,"uttarakhand",234.865137618413,721.20203874745,455.496024472073,1411.56320083794
"30",2014,"west_bengal",1701.14265497297,1972.67119413211,997.785595705299,4671.59944481038
"31",2014,NA,NA,NA,NA,NA
"32",2015,"andhra_pradesh",711.827756693106,1035.83211491204,1404.01888561537,3151.67875722051
"33",2015,"arunachal_pradesh",16,11,3,30
"34",2015,"assam",452.507638880208,856.532316451823,202.012338785807,1511.05229411784
"35",2015,"bihar",210.837272746299,279.481966198583,71.0962896470079,561.41552859189
"36",2015,"chandigarh",30.0238095228571,28.0222222213333,10.007936507619,68.0539682518095
"37",2015,"chhattisgarh",284.856321681194,410.52822830525,229.002140959391,924.386690945834
"38",2015,"delhi",492.754033571383,465.827583649449,91.5499297345738,1050.13154695541
"39",2015,"goa",78.0626865671642,161.216417910448,95.0328358208955,334.311940298507
"40",2015,"gujarat",1797.16849253171,3643.11191283567,2637.59801722294,8077.87842259032
"41",2015,"haryana",604.226543168378,1324.65049848452,941.199038396897,2870.0760800498
"42",2015,"himachal_pradesh",218.46326805762,447.987967409297,400.976884409556,1067.42811987647
"43",2015,"jammu_&_kashmir",45.1499999994324,152.649999998081,58.0499999992703,255.849999996784
"44",2015,"jharkhand",287.101781544853,393.022827163343,167.24375623972,847.368364947916
"45",2015,"karnataka",1203.98744269306,1898.81197153695,1102.71747087776,4205.51688510777
"46",2015,"kerala",678.246605791848,824.037932270469,351.800809546239,1854.08534760856
"47",2015,"madhya_pradesh",638.709882353788,703.7636666676,384.408725490706,1726.88227451209
"48",2015,"maharashtra",2614.54494410562,4708.11045285441,3373.50264005756,10696.1580370176
"49",2015,"manipur",7,4,0,11
"50",2015,"meghalaya",7,32,11,50
"51",2015,"nagaland",6,4,0,10
"52",2015,"odisha",343.952468459294,314.91751982312,160.808946292657,819.678934575072
"53",2015,"puducherry",73.7714285714286,96.3126984126984,86.0666666666667,256.150793650794
"54",2015,"punjab",712.609060347098,1252.4644090949,850.812029626535,2815.88549906853
"55",2015,"rajasthan",1179.76120676229,1568.34724222405,791.175171300527,3539.28362028687
"56",2015,"sikkim",11,17,11,39
"57",2015,"tamil_nadu",2020.58472295361,3685.24993507502,3288.5479802933,8994.38263832193
"58",2015,"telangana",867.749779035719,1334.99966005495,1067.99972804396,3270.74916713463
"59",2015,"tripura",16,19,1,36
"60",2015,"uttar_pradesh",1832.31256870072,2199.88055005396,1160.74099374706,5192.93411250174
"61",2015,"uttarakhand",200.027360700304,686.457533312408,479.611058042775,1366.09595205549
"62",2015,"west_bengal",1580.29402610542,1965.1161242788,949.438127460545,4494.84827784477
"63",2015,NA,NA,NA,NA,NA
"64",2016,"a_&_n_islands",3,3,0,6
"65",2016,"andhra_pradesh",726.490742254164,1113.95247145638,1485.26996194185,3325.7131756524
"66",2016,"arunachal_pradesh",41,16,2,59
"67",2016,"assam",462.365386448815,908.564150993826,287.765869887724,1658.69540733037
"68",2016,"bihar",252.851562515625,298.605654780357,84.283854171875,635.741071467857
"69",2016,"chandigarh",49.8937007855905,36.8779527545669,17.3543307080315,104.125984248189
"70",2016,"chhattisgarh",238.451020424286,488.975510237143,322.965306144286,1050.39183680571
"71",2016,"dadra_and_nagar_haveli",72.2969513803279,249.02283253224,349.435265004918,670.755048917486
"72",2016,"daman_and_diu",88.3775965908685,304.411721590769,353.510386363474,746.299704545112
